SYMBOL,ITC,,
OPTION_TYP,PE,,
,,,
Sum of OPEN_INT,Column Labels,,
Row Labels,Sep,Oct,Grand Total
132.35,"3,200",,"3,200"
132.5,,0,0
134.85,0,,0
135,,0,0
137.35,0,,0
137.5,,0,0
139.85,"22,400",,"22,400"
140,0,0,0
142.35,0,,0
142.5,0,0,0
144.85,"32,000",,"32,000"
145,0,0,0
147.35,0,,0
147.5,"6,400",0,"6,400"
149.85,0,,0
150,"19,200","108,800","128,000"
152.35,0,,0
152.5,0,0,0
154.85,0,,0
155,"16,000",0,"16,000"
157.35,0,,0
157.5,0,0,0
159.85,0,,0
160,"688,000","553,600","1,241,600"
162.35,0,,0
162.5,"6,400",0,"6,400"
164.85,0,,0
165,"380,800","419,200","800,000"
167.35,0,,0
167.5,0,"57,600","57,600"
169.85,"6,400",,"6,400"
170,"2,560,000","2,118,400","4,678,400"
172.35,"6,400",,"6,400"
172.5,"246,400","67,200","313,600"
174.85,"89,600",,"89,600"
175,"3,430,400","1,097,600","4,528,000"
177.35,"83,200",,"83,200"
177.5,"480,000","67,200","547,200"
179.85,"243,200",,"243,200"
180,"5,616,000","2,624,000","8,240,000"
182.35,"236,800",,"236,800"
182.5,"428,800","76,800","505,600"
184.85,"262,400",,"262,400"
185,"3,254,400","704,000","3,958,400"
187.35,"108,800",,"108,800"
187.5,"387,200","25,600","412,800"
189.85,"140,800",,"140,800"
190,"5,350,400","867,200","6,217,600"
192.35,"134,400",,"134,400"
192.5,"348,800","12,800","361,600"
194.85,"128,000",,"128,000"
195,"1,638,400","227,200","1,865,600"
197.35,"243,200",,"243,200"
197.5,"387,200",0,"387,200"
199.85,"41,600",,"41,600"
200,"1,577,600","153,600","1,731,200"
202.35,0,,0
202.5,"60,800",0,"60,800"
204.85,0,,0
205,"150,400","6,400","156,800"
207.35,0,,0
207.5,0,"19,200","19,200"
209.85,"3,200",,"3,200"
210,"211,200","60,800","272,000"
212.35,0,,0
212.5,0,0,0
214.85,"6,400",,"6,400"
215,"80,000","6,400","86,400"
217.35,0,,0
217.5,0,0,0
219.85,0,,0
220,"102,400","12,800","115,200"
222.35,0,,0
222.5,0,0,0
224.85,0,,0
225,0,0,0
227.35,0,,0
227.5,0,0,0
230,"611,200","99,200","710,400"
232.5,0,0,0
235,0,0,0
Grand Total,"29,830,400","9,385,600","39,216,000"
